City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,al 'aziziyah,32.9058,45.0616,32.39,23,0,4.93,IQ,1686528511
83,kodiak,57.79,-152.4072,9.73,66,100,4.63,US,1686528512
84,badger,64.8,-147.5333,19.17,39,75,5.14,US,1686528512
85,springbok,-29.6643,17.8865,8.44,93,59,3.11,ZA,1686528512
86,kattivakkam,13.2167,80.3167,29.48,84,88,4.96,IN,1686528512
87,ingraj bazar,25.0,88.15,27.41,67,89,3.86,IN,1686528513
88,santander jimenez,24.2167,-98.4667,32.0,62,0,7.93,MX,1686528513
89,tiksi,71.6872,128.8694,0.25,90,100,6.2,RU,1686528513
90,barra,-11.0894,-43.1417,25.7,52,31,4.31,BR,1686528513
91,petrolina,-9.3986,-40.5008,25.03,73,0,3.09,BR,1686528514
92,springs,-26.25,28.4,9.68,38,0,2.8,ZA,1686528514
93,erdenet,49.0333,104.0833,18.77,54,100,1.52,MN,1686528390
94,lazaro cardenas,17.9583,-102.2,29.28,64,1,4.52,MX,1686528514
95,lebu,-37.6167,-73.65,8.97,74,25,8.34,CL,1686528514
96,avarua,-21.2078,-159.775,27.03,78,40,2.06,CK,1686528515
97,kholmsk,47.0511,142.0569,15.73,81,78,4.35,RU,1686528515
98,umm kaddadah,13.6017,26.6876,24.69,74,97,9.02,SD,1686528515
99,ancud,-41.8697,-73.8203,7.72,83,71,3.11,CL,1686528516
100,arraial do cabo,-22.9661,-42.0278,22.44,76,1,3.66,BR,1686528516
101,punta arenas,-53.15,-70.9167,3.06,87,40,9.26,CL,1686528309
102,ta`u,-14.2336,-169.5144,27.28,80,16,6.38,AS,1686528516
103,kapuskasing,49.4169,-82.4331,9.69,76,100,1.29,CA,1686528447
104,elesbao veloso,-6.2019,-42.1403,28.06,45,81,1.57,BR,1686528517
105,bilibino,68.0546,166.4372,17.08,55,100,4.13,RU,1686528517
106,belyy yar,53.6039,91.3903,12.94,67,40,3.0,RU,1686528517
107,villa vicente guerrero,19.1194,-98.1708,24.66,48,81,2.46,MX,1686528517
108,shimanovsk,52.0,127.7,25.84,40,31,2.93,RU,1686528517
109,vilyuysk,63.7553,121.6247,7.63,65,99,5.16,RU,1686528518
110,abasolo,20.45,-101.5167,35.92,7,2,1.63,MX,1686528518
111,aykhal,66.0,111.5,1.29,86,63,6.62,RU,1686528518
112,xinyuan,37.3,99.0,6.26,61,1,1.32,CN,1686528264
113,klyuchi,52.2667,79.1667,15.81,61,0,1.12,RU,1686528519
114,sao joao dos inhamuns,-6.0,-40.2833,23.01,70,38,2.45,BR,1686528474
115,oban,56.4127,-5.4706,14.1,95,14,1.42,GB,1686528519
116,amga,60.8953,131.9608,23.4,48,78,3.28,RU,1686528520
117,nyala,12.05,24.8833,25.43,63,52,2.38,SD,1686528520
118,haiku-pauwela,20.9219,-156.3051,30.01,45,40,11.32,US,1686528520
119,urumqi,43.801,87.6005,23.53,36,0,3.0,CN,1686528520
120,karpinsk,59.7654,60.0085,3.49,62,5,4.61,RU,1686528520
121,vadso,70.0744,29.7487,10.49,66,100,7.2,NO,1686528521
122,ylitornio,66.3089,23.6773,13.16,65,100,2.38,FI,1686528521
123,san patricio,28.017,-97.5169,32.32,65,0,7.49,US,1686528521
124,queenstown,-31.8976,26.8753,9.19,31,49,2.93,ZA,1686528521
125,khovd,48.0056,91.6419,22.01,39,4,1.1,MN,1686528521
126,calatayud,41.3535,-1.6432,17.02,80,52,0.7,ES,1686528522
127,ust-nera,64.5667,143.2,19.84,48,100,4.76,RU,1686528522
128,dunhua,43.3725,128.2425,16.2,72,99,0.72,CN,1686528522
129,invercargill,-46.4,168.35,9.45,87,92,4.03,NZ,1686528522
130,gillette,44.2911,-105.5022,18.35,60,75,6.17,US,1686527927
131,namdrik,5.5994,168.1028,28.55,79,100,8.14,MH,1686528523
132,susuman,62.7833,148.1667,22.39,36,49,6.08,RU,1686528523
133,hakkari,37.5833,44.1667,7.88,93,20,1.54,TR,1686528523
134,ribeira grande,38.5167,-28.7,19.87,86,96,4.47,PT,1686528523
135,port douglas,-16.4833,145.4667,23.97,70,29,2.32,AU,1686528239
136,maun,-19.9833,23.4167,14.8,34,7,1.22,BW,1686528524
137,high river,50.5834,-113.8687,22.31,62,94,5.67,CA,1686528336
138,tura,25.5198,90.2201,23.66,90,100,1.98,IN,1686528524
139,sinabang,2.4803,96.3801,26.73,82,96,0.27,ID,1686528525
140,kirakira,-10.4544,161.9205,28.37,77,87,3.72,SB,1686528525
141,harper,4.375,-7.7169,25.27,81,99,5.14,LR,1686528525
142,codrington,-38.2667,141.9667,12.09,73,85,5.94,AU,1686528525
143,luanda,-8.8368,13.2343,23.0,88,75,3.6,AO,1686528245
144,amelia,42.5523,12.4182,18.5,91,9,1.4,IT,1686528174
145,nenjiang,49.1833,125.2167,23.24,54,53,1.97,CN,1686528526
146,hawaiian paradise park,19.5933,-154.9731,27.8,70,0,3.09,US,1686528526
147,college,64.8569,-147.8028,19.21,40,100,5.14,US,1686528526
148,yabelo,4.8833,38.0833,15.33,78,93,0.83,ET,1686528526
149,siguiri,11.6667,-9.5,24.99,81,85,1.71,GN,1686528527
150,cooma,-36.2333,149.1333,7.66,60,85,1.81,AU,1686528527
151,dolinsk,47.35,142.8,17.34,73,76,0.68,RU,1686528527
152,pangody,65.85,74.4859,7.21,81,92,4.73,RU,1686528527
153,kununurra,-15.7667,128.7333,21.99,73,79,1.03,AU,1686528528
154,sisimiut,66.9395,-53.6735,2.99,90,91,10.04,GL,1686528448
155,kidal,18.4411,1.4078,32.7,32,31,4.15,ML,1686528528
156,labrador city,52.9463,-66.9114,15.76,58,91,2.03,CA,1686528528
157,tucurui,-3.7661,-49.6725,24.09,90,29,1.31,BR,1686528528
158,port mathurin,-19.6833,63.4167,24.71,73,2,8.17,MU,1686528529
159,utrik,11.2278,169.8474,27.78,82,37,7.46,MH,1686528529
160,broken hill,-31.95,141.4333,14.58,45,5,3.62,AU,1686528529
161,constantia,44.1833,28.65,16.5,87,61,6.79,RO,1686528366
162,greymouth,-42.4667,171.2,11.26,74,83,1.18,NZ,1686528529
163,chato,-2.6378,31.7669,19.04,61,45,1.66,TZ,1686528530
164,xining,36.6167,101.7667,11.55,75,62,1.26,CN,1686528530
165,kudahuvadhoo,2.6708,72.8944,28.54,78,54,6.84,MV,1686528530
166,taretan,19.3333,-101.9167,32.06,34,75,4.12,MX,1686528531
167,patan,27.6667,85.3333,21.67,94,75,0.0,NP,1686528531
168,kingston,17.997,-76.7936,29.53,76,20,8.75,JM,1686528333
169,fortuna foothills,32.6578,-114.4119,31.97,23,40,3.6,US,1686528531
170,acapulco de juarez,16.8634,-99.8901,31.9,62,40,3.6,MX,1686528530
171,panguipulli,-39.6333,-72.3333,4.58,89,89,1.67,CL,1686528035
172,brookings,44.3114,-96.7984,20.19,41,0,4.63,US,1686528451
173,la passe,45.5549,-0.8967,20.13,82,20,3.51,FR,1686528532
174,fairwood,47.4484,-122.1573,22.28,65,40,4.12,US,1686528507
175,weno,7.4515,151.8468,30.97,74,100,4.12,FM,1686528532
176,villa elisa,-25.3667,-57.6167,13.35,44,100,4.02,PY,1686528533
177,tres arroyos,-38.3739,-60.2798,3.92,43,0,3.6,AR,1686528533
178,iskateley,67.6803,53.1512,3.49,60,100,2.88,RU,1686528533
179,coquimbo,-29.9533,-71.3436,11.85,82,0,4.63,CL,1686528309
180,corona de tucson,31.9654,-110.7756,31.65,11,0,4.47,US,1686528534
181,santa ana de yacuma,-13.75,-65.4333,26.69,73,87,2.08,BO,1686528534
182,berdigestyakh,62.0989,126.6992,13.37,76,99,3.96,RU,1686528534
183,serhiyivka,46.0272,30.3768,17.77,85,100,9.61,UA,1686528534
184,hermanus,-34.4187,19.2345,14.33,83,99,9.23,ZA,1686528535
185,flin flon,54.7682,-101.865,27.71,29,49,4.28,CA,1686528535
186,chateau-du-loir,47.6949,0.4185,17.31,91,42,1.83,FR,1686528535
187,selfoss,63.9331,-20.9971,8.36,86,90,3.51,IS,1686528535
188,kant,27.8,79.8,31.91,38,0,2.72,IN,1686528536
189,nova vicosa,-17.8919,-39.3719,23.73,84,50,4.69,BR,1686528520
190,gadzhiyevo,69.2551,33.3362,10.98,77,99,9.61,RU,1686528536
191,hasaki,35.7333,140.8333,21.27,93,100,1.86,JP,1686528536
192,alesund,62.4723,6.1549,14.39,82,40,2.06,NO,1686528536
193,arawa,-6.2132,155.5367,30.11,68,91,2.4,PG,1686528537
194,mahajanga,-15.7167,46.3167,21.01,94,20,2.57,MG,1686528363
195,tolanaro,-25.0319,46.9987,17.98,89,0,1.5,MG,1686528537
196,likasi,-10.9814,26.7333,14.44,55,8,1.07,CD,1686528309
197,soio,-6.1349,12.3689,23.27,90,100,3.01,AO,1686528537
198,biltine,14.5333,20.9167,28.39,53,95,2.06,TD,1686528538
199,mili,6.0815,171.735,28.4,74,99,7.78,MH,1686528538
200,crane,31.3974,-102.3501,35.79,20,8,6.97,US,1686528538
